func_args;signature;origin
Jackpot(address,address,uint256);\xdf5ca36ccd39d37e36a27e7b8d05e5441117a090e3886e5ced537d720ab96c46;10
Log1(address,bytes32,uint256,string,string,uint256,bytes1,uint256);\xb76d0edd90c6a07aa3ff7a222d7f5933e29c6acc660c059c97837f05c4ca1a84;10
Log2(address,bytes32,uint256,string,string,string,uint256,bytes1,uint256);\xaf30e4d66b2f1f23e63ef4591058a897f67e6867233e33ca3508b982dcc4129b;10
EnabledTransfers();\x14b2457b08915a6539809c973436eac316ba6b657af3dc14d96f6fb7982ee949;10
SetCrowdsaleAddress(address);\xcc1484d7f6661040a2157ddac7f7625c2e480a5219e121883949c065897982f0;10
onTokenPurchase(address,uint256,uint256,address);\x022c0d992e4d873a3748436d960d5140c1f9721cf73f7ca5ec679d3d9f4fe2d5;10
onTokenSell(address,uint256,uint256);\xc4823739c5787d2ca17e404aa47d5569ae71dfb49cbf21b3f6152ed238a31139;10
onReinvestment(address,uint256,uint256);\xbe339fc14b041c2b0e0f3dd2cd325d0c3668b78378001e53160eab3615326458;10
onWithdraw(address,uint256);\xccad973dcd043c7d680389db4378bd6b9775db7124092e9e0422c9e46d7985dc;10
Distr(address,uint256);\x8940c4b8e215f8822c5c8f0056c12652c746cbc57eedbd2a440b175971d47a77;10
DistrFinished();\x7f95d919e78bdebe8a285e6e33357c2fcb65ccf66e72d7573f9f8f6caad0c4cc;10
Airdrop(address,uint256,uint256);\xada993ad066837289fe186cd37227aa338d27519a8a1547472ecb9831486d272;10
TokensPerEthUpdated(uint256);\xf7729fa834bbef70b6d3257c2317a562aa88b56c81b544814f93dc5963a2c003;10
TokenPurchase(address,address,uint256,uint256);\x623b3804fa71d67900d064613da8f94b9617215ee90799290593e1745087ad18;10
FrozenFunds(address,bool);\x48335238b4855f35377ed80f164e8c6f3c366e54ac00b96a6402d4a9814a03a5;10
Refund(address,uint256);\xbb28353e4598c3b9199101a66e0989549b659a59a54d2c27fbb183f1932c8e6d;10
GoalReached(address,uint256);\xec3f991caf7857d61663fd1bba1739e04abd4781238508cde554bb849d790c85;10
TokenReleased(address,uint256);\x9cf9e3ab58b33f06d81842ea0ad850b6640c6430d6396973312e1715792e7a91;10
DipTgeStarted(uint256);\x7ae66aa6794e64276976d872ac7e8376771c141ca007c7d540cf6c3a4e20d9d3;10
CrowdsaleStarted(uint256);\x712173de1d50109191e0d0671c67415bf3d44508558069796106054c5600d501;10
HardCapReached(uint256);\x4f27c566270debe1b8a29c9ff8413f6e10dc1757ddfb9e667cc2cc205042946d;10
DipTgeEnded(uint256);\x2f5acfa415b12b6c51cfab9440997eb8391c513f2e8fe90ba8cd19b851facdda;10
